Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Baja California ,  420 ,  411 ,  597 ,  389 ,  418 ,  555 ,  490 ,  499 ,  574 ,  520 ,  502 ,  464
Baja California Sur ,  93 ,  93 ,  114 ,  71 ,  87 ,  105 ,  80 ,  73 ,  98 ,  69 ,  93 ,  79
Campeche ,  73 ,  59 ,  94 ,  46 ,  70 ,  88 ,  40 ,  66 ,  110 ,  81 ,  69 ,  76
Coahuila ,  645 ,  529 ,  684 ,  439 ,  508 ,  644 ,  484 ,  516 ,  636 ,  503 ,  454 ,  607
Colima ,  78 ,  51 ,  109 ,  66 ,  61 ,  91 ,  60 ,  103 ,  102 ,  83 ,  73 ,  56
Chiapas ,  371 ,  405 ,  429 ,  393 ,  386 ,  461 ,  280 ,  393 ,  370 ,  326 ,  310 ,  268
Chihuahua ,  616 ,  654 ,  766 ,  530 ,  672 ,  837 ,  612 ,  666 ,  754 ,  567 ,  588 ,  670
Distrito Federal , 1 202 , 1 346 , 1 669 , 1 036 , 1 204 , 1 552 , 1 289 , 1 239 , 1 343 , 1 087 , 1 079 , 1 066
Durango ,  174 ,  224 ,  227 ,  183 ,  242 ,  281 ,  227 ,  201 ,  368 ,  265 ,  266 ,  263
Guanajuato ,  618 ,  586 ,  757 ,  544 ,  654 ,  813 ,  597 ,  562 ,  664 ,  600 ,  571 ,  568
Guerrero ,  421 ,  439 ,  540 ,  398 ,  421 ,  524 ,  423 ,  382 ,  470 ,  462 ,  406 ,  342
Hidalgo ,  216 ,  214 ,  282 ,  251 ,  290 ,  399 ,  257 ,  314 ,  386 ,  215 ,  227 ,  192
Jalisco , 1 099 , 1 151 , 1 468 , 1 030 , 1 115 , 1 420 , 1 025 , 1 042 , 1 322 ,  956 ,  990 , 1 000
México , 2 011 , 1 909 , 2 493 , 1 472 , 2 080 , 2 567 , 1 921 , 1 818 , 2 184 , 1 775 , 1 912 , 1 821
Michoacán ,  485 ,  491 ,  658 ,  442 ,  531 ,  518 ,  392 ,  514 ,  624 ,  492 ,  480 ,  412
Morelos ,  380 ,  387 ,  403 ,  363 ,  361 ,  442 ,  399 ,  418 ,  489 ,  509 ,  395 ,  470
Nayarit ,  168 ,  148 ,  175 ,  120 ,  143 ,  166 ,  94 ,  120 ,  148 ,  104 ,  88 ,  136
Nuevo León ,  539 ,  731 ,  790 ,  559 ,  676 ,  831 ,  741 ,  759 ,  759 ,  732 ,  678 ,  656
Oaxaca ,  412 ,  461 ,  504 ,  348 ,  402 ,  514 ,  377 ,  374 ,  529 ,  365 ,  325 ,  359
Puebla ,  877 ,  694 ,  959 ,  566 ,  576 ,  662 ,  536 ,  492 ,  555 ,  471 ,  524 ,  480
Querétaro ,  167 ,  145 ,  219 ,  148 ,  163 ,  190 ,  183 ,  168 ,  222 ,  189 ,  184 ,  169
Quintana Roo ,  109 ,  85 ,  148 ,  85 ,  96 ,  151 ,  175 ,  146 ,  181 ,  119 ,  114 ,  146
San Luis Potosí ,  319 ,  409 ,  462 ,  317 ,  406 ,  400 ,  350 ,  370 ,  476 ,  457 ,  379 ,  404
Sinaloa ,  492 ,  506 ,  691 ,  444 ,  553 ,  647 ,  486 ,  469 ,  615 ,  442 ,  409 ,  439
Sonora ,  316 ,  325 ,  415 ,  291 ,  311 ,  400 ,  307 ,  253 ,  297 ,  254 ,  238 ,  272
Tabasco ,  232 ,  249 ,  344 ,  235 ,  333 ,  356 ,  432 ,  328 ,  428 ,  292 ,  311 ,  238
Tamaulipas ,  464 ,  381 ,  565 ,  400 ,  402 ,  564 ,  383 ,  506 ,  580 ,  369 ,  364 ,  424
Tlaxcala ,  155 ,  164 ,  180 ,  113 ,  109 ,  138 ,  162 ,  129 ,  167 ,  130 ,  137 ,  128
Veracruz ,  730 ,  711 ,  842 ,  640 ,  687 ,  882 ,  650 ,  754 ,  795 ,  654 ,  647 ,  558
Yucatán ,  344 ,  323 ,  382 ,  312 ,  378 ,  417 ,  298 ,  281 ,  352 ,  332 ,  268 ,  294
Zacatecas ,  155 ,  147 ,  205 ,  148 ,  194 ,  210 ,  142 ,  139 ,  144 ,  113 ,  117 ,  122
Zacatecas,268,230,206,217,257,232,181,194,253,195,138,
