Estado,< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,Ign.
Aguascalientes,0,0,0,0,2,20,414,224,352,163,198,2
Baja California,1,2,5,8,17,41,1 233,649,1 305,585,887,39
Baja California  Sur,0,0,1,1,3,12,301,139,289,121,204,1
Campeche,0,0,0,0,2,8,263,119,244,127,147,1
Coahuila,2,4,5,4,6,47,1 111,778,1 691,814,1 155,10
Colima,0,0,0,0,0,0,256,140,309,117,233,0
Chiapas,4,8,5,8,23,30,946,679,1 429,571,972,12
Chihuahua,0,1,5,2,5,29,1 424,751,1 761,716,1 342,7
Distrito Federal,0,0,0,0,16,127,3 095,2 518,4 656,2 396,3 381,14
Durango,0,0,0,0,0,18,547,326,771,439,710,0
Guanajuato,0,0,0,0,5,34,1 314,698,1 551,770,1 351,1
Guerrero,1,0,1,3,3,35,1 309,743,1 634,681,1 140,6
Hidalgo,0,0,0,0,6,10,505,386,690,403,527,3
Jalisco,7,5,8,18,42,106,2 431,1 520,3 818,2 006,3 561,41
México,49,4,6,11,43,124,4 117,2 878,5 419,2 713,4 144,47
Michoacán,0,0,1,7,11,34,788,581,1 321,779,1 484,32
Morelos,0,0,0,0,5,18,1 040,705,1 236,694,960,18
Nayarit,0,0,0,0,7,9,219,189,366,242,462,3
Nuevo León,1,2,4,12,24,36,1 567,944,2 005,828,1 436,6
Oaxaca,2,0,0,1,6,39,988,738,1 289,652,909,2
Puebla,0,1,0,3,11,22,1 170,741,1 896,887,1 775,7
Querétaro,0,0,0,0,0,8,489,244,466,198,310,0
Quintana Roo,0,4,0,0,0,10,352,136,288,108,127,1
San Luis Potosí,0,0,0,1,6,12,892,481,1 010,478,829,0
Sinaloa,0,0,0,0,6,33,1 036,645,1 768,828,1 650,51
Sonora,0,0,0,0,6,22,606,400,940,382,881,2
Tabasco,0,0,2,6,5,45,962,603,945,346,494,3
Tamaulipas,0,1,4,4,4,19,1 227,832,1 592,750,1 194,8
Tlaxcala,0,0,0,3,9,7,270,190,433,181,322,0
Veracruz,0,0,0,6,11,55,1 719,1 026,2 317,1 055,1 814,1
Yucatán,0,1,0,4,8,33,823,412,1 050,457,867,0
Zacatecas,0,0,0,0,0,11,367,192,373,196,400,4
