Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,256,246,257,218,228,230,203,277,195,247,210,202
Baja California,515,512,648,565,726,585,584,773,582,618,621,442
Baja California Sur,93,90,97,69,115,110,101,102,70,74,86,86
Campeche,158,249,171,166,207,174,141,249,135,134,187,128
Coahuila,835,790,934,735,930,737,714,1 135,748,793,979,713
Colima,96,127,110,94,106,116,98,128,108,101,86,61
Chiapas,672,856,938,856,891,855,705,754,534,411,676,443
Chihuahua,590,612,743,706,758,634,651,906,605,648,641,423
Distrito Federal,1 942,2 067,2 236,2 148,2 504,2 013,1 957,2 169,1 951,1 879,2 200,1 407
Durango,585,558,575,589,537,555,846,1 066,792,572,589,387
Guanajuato,828,934,1 118,1 025,1 057,968,815,1 225,950,1 005,1 188,782
Guerrero,741,746,645,754,883,763,711,828,631,707,834,461
Hidalgo,235,322,327,350,365,277,302,377,323,281,318,199
Jalisco,1 731,1 952,2 138,1 931,2 240,1 596,1 558,1 750,1 336,1 373,1 742,967
México,2 169,2 341,2 726,2 300,2 681,2 350,2 099,2 538,2 130,2 098,2 664,1 649
Michoacán,391,438,529,474,472,414,420,634,440,482,600,360
Morelos,330,441,554,476,543,461,541,594,518,490,671,399
Nayarit,209,190,189,193,260,200,208,248,169,215,225,156
Nuevo León,661,668,798,696,835,719,523,696,621,591,735,593
Oaxaca,494,570,561,679,694,579,530,721,604,543,660,387
Puebla,1 088,979,1 174,1 237,1 343,939,931,1 176,817,1 002,1 230,798
Querétaro,218,225,274,263,282,200,243,281,193,203,237,176
Quintana Roo,93,76,88,94,120,92,62,94,76,82,61,47
San Luis Potosí,418,563,708,623,758,631,655,756,566,616,682,408
Sinaloa,581,537,583,577,739,560,572,688,614,690,767,538
Sonora,524,630,608,505,539,499,552,619,417,438,549,282
Tabasco,323,353,409,386,487,417,343,458,331,353,262,125
Tamaulipas,681,644,700,723,788,633,545,783,602,547,628,425
Tlaxcala,133,137,169,174,182,170,150,318,165,169,221,142
Veracruz,1 022,1 183,1 223,979,1 090,846,746,970,712,842,1 040,543
Yucatán,421,366,516,358,452,407,290,416,439,452,489,325
Zacatecas,189,199,294,212,211,183,177,219,160,183,255,131
