Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Baja California ,  101 ,  110 ,  190 ,  166 ,  168 ,  351 ,  271 ,  400 ,  382 ,  336 ,  274 ,  337
Baja California Sur ,  643 ,  639 ,  740 ,  646 ,  645 ,  817 ,  600 ,  672 ,  746 ,  633 ,  624 ,  618
Campeche ,  99 ,  86 ,  112 ,  88 ,  81 ,  101 ,  75 ,  73 ,  87 ,  72 ,  54 ,  49
Coahuila ,  55 ,  95 ,  177 ,  138 ,  141 ,  125 ,  115 ,  95 ,  131 ,  102 ,  81 ,  164
Colima ,  833 ,  716 ,  934 ,  826 ,  707 ,  758 ,  564 ,  403 ,  729 ,  610 ,  553 ,  564
Chiapas ,  83 ,  75 ,  87 ,  79 ,  70 ,  97 ,  77 ,  77 ,  62 ,  56 ,  64 ,  77
Chihuahua ,  593 ,  648 ,  804 ,  718 ,  652 ,  727 ,  617 ,  567 ,  760 ,  710 ,  745 ,  571
Distrito Federal ,  886 ,  900 , 1 041 , 1 011 ,  976 , 1 334 ,  977 ,  921 ,  959 ,  838 ,  769 ,  784
Durango ,1 517 , 1 572 , 1 841 , 1 557 , 1 508 , 1 865 , 1 419 , 1 476 , 1 827 , 1 473 , 1 418 , 1 476
Guanajuato ,  418 ,  400 ,  466 ,  470 ,  421 ,  506 ,  321 ,  415 ,  549 ,  477 ,  362 ,  407
Guerrero ,  797 ,  794 ,  989 ,  934 ,  765 ,  913 ,  664 ,  685 ,  836 ,  756 ,  675 ,  672
Hidalgo ,  589 ,  643 ,  721 ,  680 ,  634 ,  902 ,  629 ,  687 ,  700 ,  834 ,  537 ,  549
Jalisco ,  299 ,  333 ,  456 ,  345 ,  419 ,  535 ,  331 ,  326 ,  404 ,  303 ,  342 ,  305
México ,1 368 , 1 403 , 1 665 , 1 400 , 1 445 , 1 681 , 1 382 , 1 405 , 1 653 , 1 427 , 1 501 , 1 397
Michoacán ,2 735 , 2 646 , 3 596 , 2 825 , 2 444 , 3 716 , 2 570 , 2 497 , 3 009 , 2 762 , 2 609 , 2 494
Morelos ,  669 ,  623 ,  730 ,  712 ,  594 ,  831 ,  675 ,  720 ,  830 ,  726 ,  796 ,  795
Nayarit ,  428 ,  500 ,  603 ,  493 ,  381 ,  583 ,  431 ,  395 ,  498 ,  444 ,  481 ,  402
Nuevo León ,  137 ,  190 ,  200 ,  181 ,  164 ,  230 ,  180 ,  167 ,  131 ,  168 ,  153 ,  174
Oaxaca ,  711 ,  774 ,  856 ,  857 ,  757 ,  780 ,  651 ,  643 ,  724 ,  725 ,  832 ,  593
Puebla ,  614 ,  681 ,  782 ,  636 ,  580 ,  860 ,  628 ,  772 ,  727 ,  669 ,  624 ,  603
Querétaro ,  740 ,  825 , 1 014 ,  882 ,  799 ,  986 ,  768 ,  800 ,  879 ,  767 ,  743 ,  733
Quintana Roo ,  258 ,  266 ,  338 ,  270 ,  289 ,  303 ,  209 ,  229 ,  317 ,  277 ,  240 ,  225
San Luis Potosí ,  131 ,  138 ,  174 ,  130 ,  119 ,  161 ,  100 ,  147 ,  129 ,  151 ,  136 ,  153
Sinaloa ,  526 ,  550 ,  708 ,  582 ,  537 ,  718 ,  518 ,  540 ,  615 ,  523 ,  540 ,  616
Sonora ,  716 ,  678 ,  749 ,  767 ,  684 ,  847 ,  650 ,  620 ,  687 ,  652 ,  502 ,  527
Tabasco ,  397 ,  489 ,  559 ,  525 ,  486 ,  603 ,  445 ,  486 ,  523 ,  444 ,  396 ,  381
Tamaulipas ,  344 ,  354 ,  416 ,  391 ,  393 ,  524 ,  345 ,  326 ,  381 ,  362 ,  316 ,  293
Tlaxcala ,  763 ,  755 , 1 018 ,  893 ,  708 ,  703 ,  559 ,  693 ,  732 ,  602 ,  579 ,  621
Veracruz ,  169 ,  167 ,  232 ,  223 ,  179 ,  239 ,  148 ,  140 ,  232 ,  192 ,  167 ,  193
Yucatán ,1 080 , 1 311 , 1 416 , 1 096 , 1 128 , 1 477 , 1 164 , 1 220 , 1 319 , 1 164 , 1 183 , 1 128
Zacatecas ,  404 ,  390 ,  482 ,  425 ,  425 ,  496 ,  390 ,  434 ,  415 ,  378 ,  327 ,  399
Zacatecas,  208 ,  206 ,  247 ,  215 ,  206 ,  247 ,  220 ,  181 ,  227 ,  203 ,  168 ,  200
